City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Baleshwar,IN,2021-01-19 17:00:44,21.4942,86.9317,68.14,87,8,7.94
263,Corner Brook,CA,2021-01-19 17:00:44,48.9667,-57.9484,30.2,59,75,14.97
264,Maralal,KE,2021-01-19 17:00:45,1.0968,36.698,63.61,50,53,10.18
265,De Haan,BE,2021-01-19 17:00:45,51.272,3.0429,48.2,81,75,17.27
266,Prince Rupert,CA,2021-01-19 17:00:45,54.3161,-130.3201,41.0,81,90,11.5
267,Raga,SS,2021-01-19 17:00:46,8.4596,25.678,77.83,18,39,5.5
268,Xining,CN,2021-01-19 17:00:46,36.6167,101.7667,20.26,68,78,0.87
269,Mazamari,PE,2021-01-19 17:00:46,-11.3258,-74.5308,80.6,57,94,1.92
270,Dingle,PH,2021-01-19 17:00:46,10.9995,122.6711,72.32,92,100,5.12
271,Samarai,PG,2021-01-19 17:00:47,-10.6167,150.6667,84.02,79,97,14.41
272,Campbell River,CA,2021-01-19 17:00:21,50.0163,-125.2446,39.99,100,90,0.87
273,Celestun,MX,2021-01-19 17:00:47,20.8667,-90.4,77.63,68,5,9.01
274,Zaranj,AF,2021-01-19 17:00:48,30.9667,61.8833,53.6,22,0,4.61
275,Nosy Varika,MG,2021-01-19 17:00:48,-20.5833,48.5333,80.11,83,1,5.88
276,Sanchursk,RU,2021-01-19 17:00:48,56.9413,47.2499,-1.1,92,100,3.29
277,Kloulklubed,PW,2021-01-19 17:00:48,7.0419,134.2556,78.8,89,90,6.91
278,Losevo,RU,2021-01-19 17:00:48,50.6767,40.045,1.65,93,98,2.93
279,Cabo San Lucas,MX,2021-01-19 16:57:55,22.8909,-109.9124,71.01,77,90,8.05
280,Nanakuli,US,2021-01-19 17:00:48,21.3906,-158.1547,71.6,88,75,3.44
281,Torrijos,ES,2021-01-19 16:58:44,39.9819,-4.2835,39.0,70,50,5.12
282,Maceio,BR,2021-01-19 17:00:49,-9.6658,-35.7353,86.0,58,40,17.27
283,Isangel,VU,2021-01-19 17:00:49,-19.55,169.2667,80.58,81,90,4.0
284,Esperance,AU,2021-01-19 17:00:49,-33.8667,121.9,73.4,53,11,14.97
285,Ranong,TH,2021-01-19 17:00:50,9.9658,98.6348,72.0,85,85,6.22
286,Katobu,ID,2021-01-19 17:00:50,-4.9408,122.5276,77.09,87,100,7.65
287,Lima,PE,2021-01-19 17:00:16,-12.0432,-77.0282,75.2,73,0,6.91
288,Guatape,CO,2021-01-19 17:00:50,6.2327,-75.1586,68.0,64,40,2.3
289,Yellowknife,CA,2021-01-19 17:00:51,62.456,-114.3525,9.0,85,90,16.11
290,Henties Bay,NA,2021-01-19 17:00:51,-22.116,14.2845,71.01,82,67,13.18
291,Saint-Pierre,RE,2021-01-19 17:00:51,-21.3393,55.4781,84.2,74,40,5.75
292,Solano,US,2021-01-19 17:00:52,38.2333,-121.9511,57.99,30,1,26.46
